,true_category,predicted_categorys
51091,10,10
119514,4,4
76613,4,4
92119,27,22
115575,4,4
64852,4,4
60625,16,11
22550,4,4
93162,1,8
32131,26,2
82052,4,4
35204,4,4
54019,4,4
59279,8,1
12168,6,4
44877,4,4
53308,4,4
59421,5,0
37058,4,4
84342,10,10
4338,2,26
47179,4,4
107153,28,4
86295,10,10
90344,11,11
86982,30,1
120461,24,25
11362,11,4
91991,24,24
4196,2,4
22001,4,4
121124,25,6
4402,4,4
110742,29,7
79122,4,4
17594,4,4
71914,10,10
95767,9,9
95988,10,20
78511,4,26
65766,4,25
7137,4,4
116742,28,26
115556,4,4
33295,4,4
6186,1,1
8822,9,4
39863,10,10
117950,1,1
3840,1,1
119605,10,10
89003,4,4
107343,15,4
19548,25,4
88827,7,13
107742,4,4
86096,22,7
87881,13,4
56568,4,4
123308,29,4
22274,12,7
53663,26,26
61857,26,26
12750,4,4
74025,1,1
103255,3,3
97350,13,4
102312,25,25
114716,23,7
41024,6,4
26116,8,8
110894,30,4
1181,4,4
2296,1,5
104002,23,11
57354,25,25
110472,4,4
35978,26,4
102589,8,25
19825,4,28
58567,1,20
7502,4,4
97429,12,7
8588,6,4
50334,4,4
519,14,14
56770,4,6
13254,4,4
68316,5,5
70769,4,4
117514,11,4
87726,29,5
47955,4,13
69777,26,26
63054,13,13
44317,4,6
87168,1,1
4523,1,1
45416,4,4
64809,9,4
28559,4,4
18060,12,12
40215,8,1
61675,12,7
81143,10,10
26772,5,1
120315,1,5
87198,29,25
58965,4,4
98392,20,25
10618,9,30
75795,6,6
86662,8,25
119014,12,7
87809,1,1
8230,8,1
62666,4,4
27380,26,25
91831,7,4
84713,26,4
95141,28,25
38375,1,1
4148,13,10
103004,1,1
27187,8,1
56520,4,4
58257,4,0
34544,9,4
18948,1,1
13053,10,10
105988,7,1
50994,26,26
91968,25,1
100131,25,20
38905,1,1
56713,8,4
54779,26,26
81944,4,0
85816,21,20
36266,21,1
120648,4,4
17078,25,25
19245,2,28
114543,4,6
55607,4,14
66994,4,4
75631,13,13
115936,27,22
11335,6,4
105797,8,24
49637,7,10
708,4,4
25239,4,4
15351,4,4
51722,1,30
75448,22,22
118691,18,3
115214,25,25
20799,0,0
114034,6,6
75300,15,30
65778,4,4
3865,2,15
23188,4,4
82126,10,10
67157,4,4
79411,15,15
20546,15,9
6396,6,4
13590,2,2
76136,23,4
40879,4,4
41653,15,15
112951,11,7
91448,4,26
97917,18,4
12229,1,1
2741,4,4
77889,26,25
28354,4,4
73385,1,1
43538,22,1
28157,20,20
100664,12,24
39797,20,4
55646,4,4
121045,3,3
55691,23,23
69743,4,4
72958,4,4
36117,4,4
30433,25,25
22731,0,4
69100,4,4
84407,10,10
112386,15,15
88413,25,25
108763,12,11
92579,4,4
17904,20,25
71048,25,25
20882,24,11
55937,25,24
61659,5,24
83826,27,4
30833,4,4
53620,10,10
103354,4,25
63511,14,9
107895,11,11
25504,8,8
68142,11,11
342,4,4
115500,0,0
64914,4,4
51135,1,1
11043,8,1
64921,7,11
118632,3,4
57273,4,4
105858,23,28
85910,1,1
124415,4,14
32939,0,20
113394,29,4
67788,4,4
41471,9,9
46725,17,4
33140,4,4
79501,4,4
89159,4,4
24072,4,4
85231,1,13
40557,20,20
75262,1,1
37162,4,26
51174,5,8
10020,8,1
89586,9,9
118378,29,25
43214,1,1
33600,8,1
47627,4,4
49676,9,0
84616,19,20
82081,5,5
31397,4,4
46189,4,4
61220,13,25
1235,8,8
110651,15,6
9059,20,20
91889,4,4
86828,7,22
92622,8,4
13274,1,1
50419,25,25
124134,18,3
89960,3,25
123377,7,7
12915,4,4
32503,1,1
21537,20,24
118698,12,29
101692,15,15
108701,3,25
9660,4,4
43506,20,20
90611,19,7
11601,1,1
97199,28,26
22428,4,4
22672,4,4
103839,7,7
108258,6,10
124667,17,3
82046,9,9
54945,1,5
88643,1,20
64709,4,4
82354,10,10
29573,27,4
115418,22,24
54002,3,27
69365,1,1
16615,11,29
109222,28,26
22495,20,25
76182,1,1
80678,1,1
70776,11,8
114901,23,4
120232,1,1
40279,4,4
76748,12,1
35202,26,4
83233,5,0
30902,21,30
90006,3,3
67489,4,0
5069,4,4
45870,26,28
37577,1,1
71401,11,7
32243,4,4
58120,26,4
85713,8,25
117503,19,3
86041,15,15
89138,20,20
47286,4,4
40120,4,4
22868,7,4
2707,1,1
37159,1,6
28312,4,4
25145,11,3
97214,8,24
95795,1,1
45584,4,4
54293,5,4
6804,7,4
72829,4,4
47214,26,13
96760,4,4
3282,6,1
19401,9,9
107740,28,23
59623,4,4
2391,2,28
111383,22,24
23491,7,20
64423,13,4
121644,18,20
39861,17,0
29186,9,9
15280,26,26
1131,5,1
86635,4,28
66014,1,1
26778,1,1
121746,4,4
4929,2,26
60806,14,11
106965,4,4
38442,15,9
82766,1,1
41549,26,28
38145,15,4
120343,4,10
23467,4,4
90873,9,9
118262,23,25
272,14,25
65582,4,4
53743,6,6
124078,10,10
75989,4,4
65833,9,9
10720,4,4
27667,25,25
76453,1,1
2152,5,4
120330,17,4
14154,2,15
95709,0,4
39090,24,24
63686,15,9
38864,4,7
38018,7,4
48680,27,10
11051,15,25
91082,15,15
76954,4,4
50066,8,8
41286,4,4
47778,4,9
69438,21,1
103728,19,12
115524,24,1
21448,1,1
49122,21,1
79736,4,4
55423,9,9
72490,4,4
274,7,7
20166,10,1
3102,1,1
94357,1,1
10182,4,4
65855,4,4
24540,18,4
54329,19,4
120983,29,11
58142,4,4
105590,4,4
68399,14,4
7968,10,10
12851,4,4
115844,4,3
24145,13,13
120995,3,3
74505,1,1
36471,4,4
89578,30,4
94569,11,7
95883,7,7
106035,12,4
35339,5,8
73305,13,4
101263,4,4
45696,4,4
13620,22,8
73756,4,0
79953,13,13
39192,26,4
71915,4,4
18900,7,6
121354,4,4
12330,4,13
85386,0,4
118088,1,1
119105,28,4
54938,4,4
110493,29,11
7187,4,4
39302,1,1
48422,27,0
104803,9,9
115141,28,4
84840,25,25
27897,23,23
72278,4,8
93849,4,4
3711,1,1
37007,1,1
6340,4,4
47551,4,4
9220,4,1
103859,1,1
43862,4,4
51824,4,4
4184,7,30
11045,20,3
69758,0,0
116911,22,24
47034,26,28
80285,4,4
32226,9,9
94411,0,0
72835,1,1
65469,4,4
51059,10,10
75699,11,5
78691,4,4
88200,9,9
14680,4,7
35093,4,4
4467,10,4
71122,4,4
52017,4,4
11133,4,4
81145,6,1
78549,24,24
23767,21,1
60879,25,25
46139,4,1
103429,30,25
88851,4,4
77077,4,4
59685,8,25
73877,4,4
67091,4,4
123147,30,1
40240,1,1
46483,1,1
40926,17,4
64389,9,9
3289,6,6
63122,10,10
50292,24,8
30376,20,20
72530,4,4
87901,20,20
45459,1,1
35726,4,4
73483,13,10
16319,20,20
95143,25,25
74735,22,22
60855,5,5
111799,1,8
46282,25,25
92986,25,25
3656,4,4
32434,4,4
20409,24,25
21445,20,20
60691,11,4
96958,19,29
99467,27,20
43713,9,9
54952,4,4
44202,26,26
86731,7,16
113281,13,13
13897,4,9
32375,7,20
45686,4,23
7128,1,1
17403,5,5
38837,26,28
115663,13,13
58143,8,7
73936,1,1
115807,11,25
84532,14,25
33342,13,1
6760,4,1
61905,1,1
112780,3,3
1692,1,1
43922,5,24
36997,4,4
5601,4,4
21899,20,15
50414,1,1
93744,30,6
15510,24,12
50883,23,28
96947,4,4
57881,11,4
61232,4,7
13994,2,28
27283,4,6
122420,0,4
57621,4,4
21814,24,24
56256,15,15
105544,6,4
10949,2,26
40017,1,1
27441,4,4
67566,6,4
72275,23,3
95882,1,1
82084,6,9
90590,15,15
81713,13,13
7695,13,13
11445,4,4
12728,9,9
22174,4,4
33517,25,25
1792,2,0
18956,4,7
13391,13,7
30016,25,25
15697,1,1
38489,1,1
76866,4,4
107557,1,24
96193,9,25
100945,1,1
3095,4,4
19737,7,7
86297,1,1
29199,3,27
102947,25,25
19919,4,4
85171,1,1
44609,26,28
48466,7,25
57411,9,24
29273,4,10
8563,12,4
54906,16,25
73084,4,4
122503,4,4
91475,28,4
27592,8,8
87510,29,3
99626,22,1
119994,5,11
95753,25,25
42699,0,0
84504,9,9
97238,8,15
43737,4,7
13203,25,7
31240,6,6
48714,11,4
100317,1,1
30343,4,4
41886,21,1
60454,20,20
88101,29,3
7705,6,1
4498,2,2
44048,4,4
63614,28,15
97195,4,4
1966,9,9
84031,1,1
31669,26,5
50316,17,4
66511,20,20
16314,5,5
91445,1,1
49328,22,1
74890,1,1
77978,4,4
45120,4,4
33391,4,4
65790,4,4
101146,28,26
102024,4,4
60793,21,6
98348,23,24
84445,1,11
22268,23,4
56393,1,1
83901,5,4
40489,25,7
36546,13,8
60247,21,7
27389,16,4
37777,1,1
79319,11,11
70140,6,6
78230,4,4
35874,1,1
111339,15,7
66713,27,1
26260,4,4
36913,4,4
86956,12,11
110065,9,1
92784,4,4
110372,12,20
64164,4,4
46194,9,9
42497,4,4
29635,21,1
48292,12,20
118209,11,4
84505,22,4
87603,1,1
63349,4,4
50594,16,3
105068,3,25
46337,4,4
42606,4,4
9338,24,5
100227,4,4
33252,4,4
5137,4,4
91447,28,26
31691,4,4
33090,24,24
122470,22,22
63751,18,3
17915,22,22
78638,13,4
119414,6,4
113297,28,4
22326,2,4
72318,1,1
63570,4,4
7494,7,9
90677,22,30
74487,4,6
43932,7,25
92592,4,4
75014,4,4
37793,0,0
77137,10,10
10512,4,4
100207,1,6
41200,19,3
20747,1,1
28311,4,4
98533,28,3
35722,4,16
103957,1,1
22929,25,4
1413,4,4
28126,24,24
117277,3,4
23193,2,26
118606,9,9
79366,1,2
32706,4,4
6426,2,2
111795,4,4
93117,3,3
22661,4,4
1862,4,4
111717,25,1
112397,4,4
52432,14,11
124510,10,10
93270,25,25
52588,4,4
47461,9,6
19655,4,4
16622,8,8
63709,13,4
64924,4,4
9904,1,1
62991,5,13
24609,9,9
120168,4,11
79255,4,4
123776,20,9
49886,1,1
105818,13,4
10157,7,7
23686,5,25
3556,8,8
23077,0,4
6700,1,22
24710,8,4
18791,4,4
69984,27,25
4113,15,4
86846,30,7
13867,2,26
116628,11,25
46960,6,4
50024,9,9
63502,25,25
96518,4,6
81068,13,4
8978,9,4
32730,1,4
53587,4,4
9830,17,1
79175,4,4
72058,1,1
5823,1,8
71651,1,1
73281,19,4
89803,0,20
73665,10,10
120864,15,30
79897,17,13
2111,4,4
107781,1,1
96147,9,9
60199,4,4
47823,25,25
61359,6,1
64508,4,4
71440,4,4
33675,6,1
17930,23,4
52358,8,8
22997,4,4
69369,25,1
3128,8,1
7751,6,4
68710,10,4
77420,13,13
110249,8,1
106466,4,4
68263,4,4
52106,26,15
66649,4,4
20397,9,4
92960,4,4
79154,9,9
93620,13,13
29169,4,4
33925,26,4
31120,26,26
86618,0,10
92163,20,7
27604,4,4
113246,1,1
64007,4,16
73073,1,1
58607,4,4
49734,25,4
29609,11,11
69985,1,8
114069,27,0
115055,29,3
75228,25,25
31617,4,4
95400,28,1
103649,15,26
49528,20,1
65151,27,25
39839,26,4
107381,7,11
23274,9,9
28963,1,1
58533,4,4
108550,11,4
124669,7,4
32429,4,4
9420,4,4
46749,8,4
86632,4,4
27545,4,4
18821,1,1
41781,1,1
85858,1,1
45713,4,4
37107,24,25
2815,4,4
63510,4,4
70742,15,15
23785,25,20
18960,4,4
104594,16,25
111616,22,1
92962,1,1
81922,4,9
91046,12,9
25719,2,28
7033,4,4
50031,4,4
115384,12,12
90634,1,7
23724,4,4
10299,23,7
110996,4,4
60947,26,26
67773,4,4
105812,4,7
117203,1,1
73452,5,13
79862,3,4
68246,4,4
118860,4,4
63583,5,1
67311,10,1
80009,4,4
92696,4,4
123402,4,4
77406,27,10
105553,11,4
72581,10,1
655,4,4
21286,2,28
68353,6,4
19518,2,26
63632,4,4
24431,4,4
102846,25,25
118786,28,26
120153,4,25
42277,9,9
89584,9,20
68615,1,1
113721,1,5
62691,27,20
71771,4,4
95271,25,25
29944,4,4
51535,1,1
107147,28,4
95621,10,10
82889,7,20
72191,28,23
98896,8,25
59480,4,4
109586,3,8
59925,1,5
45644,4,4
34406,10,0
52801,4,4
85648,26,26
79556,1,1
102095,30,30
92936,16,1
96241,11,20
64111,21,10
33968,18,9
102880,16,25
82167,4,4
6143,4,4
108713,1,1
71620,27,0
80935,25,1
100906,30,30
121786,22,22
46463,4,4
70008,4,4
121812,28,26
16405,23,4
3221,2,26
1171,7,7
22494,25,25
116475,4,4
2392,2,26
2495,4,4
58254,4,4
13198,2,3
25873,26,26
11737,18,23
76263,4,10
98044,4,4
17819,25,5
37399,4,4
3627,4,4
24468,4,13
72616,5,1
114026,11,28
89161,25,1
24800,20,20
51577,4,4
101686,15,4
120968,3,1
98564,1,1
120924,20,9
68589,27,4
77320,4,4
21790,20,20
2348,4,4
37847,15,25
74786,8,1
91617,18,20
31511,4,4
82145,26,26
31284,5,12
101695,22,3
40892,17,4
72637,1,1
44768,4,8
94256,23,23
52276,4,4
89429,4,4
93169,23,1
86313,12,16
11968,4,4
3054,1,1
37144,26,26
73043,4,4
122084,6,24
86797,1,1
8926,4,4
27065,9,9
123980,23,11
86075,1,6
31154,8,8
56456,12,11
25138,19,17
103745,30,1
123917,10,1
49524,14,1
2818,1,1
85002,9,9
30004,8,1
54650,4,4
29809,4,4
39888,4,1
122373,4,4
110327,8,8
79320,1,1
64031,25,25
9925,4,4
98423,4,4
64000,4,4
90522,3,4
53523,1,1
9202,17,1
102259,23,4
10141,1,1
62765,26,4
72117,25,25
14447,4,4
114221,28,26
54335,1,1
44190,8,1
104374,5,1
77254,1,1
63597,1,1
82301,4,3
83834,10,10
119032,4,4
35275,1,1
55992,4,4
33122,0,4
2143,13,13
114158,4,4
43958,26,26
34140,1,4
20433,4,4
104889,28,26
113999,8,1
31801,9,9
38249,23,23
86533,1,22
103830,9,9
55854,1,8
75162,1,6
28945,4,4
7924,9,9
90958,3,11
57088,10,10
12681,8,1
82136,1,1
82329,9,7
71248,25,25
36031,25,25
34834,9,9
44697,26,26
24944,4,4
23537,4,1
80793,11,4
97078,28,3
10835,13,4
121533,28,1
70688,14,25
31149,1,8
71159,25,25
51917,4,4
18398,4,4
101122,4,20
23314,7,20
11903,2,28
2782,5,1
16525,1,1
88382,1,1
56517,19,26
119207,23,20
109651,9,9
94446,1,1
18818,1,4
32133,0,0
103578,10,13
19559,25,7
31537,4,8
97171,11,11
43470,1,1
52589,4,4
75810,4,4
111741,0,17
68900,11,3
34444,4,4
73092,4,4
79323,4,8
106617,25,7
111055,11,4
11203,4,15
41879,4,4
86564,28,26
36633,20,20
65208,23,25
106768,6,4
101348,12,1
82930,4,4
115707,28,28
31,6,6
17860,20,7
114566,28,4
111297,3,11
10999,2,26
62026,1,1
51778,4,4
46992,1,4
110773,23,23
64653,9,4
44017,11,3
82004,4,13
118328,23,4
6418,10,10
89459,8,20
111347,8,4
20976,4,4
59712,4,3
14029,10,1
8517,1,1
47317,26,26
108207,4,4
1846,2,3
57093,10,1
61056,4,4
51525,6,6
117632,7,24
107419,11,4
36874,4,4
33150,4,4
56811,4,4
111112,19,20
93388,11,11
51858,1,1
96586,8,4
56331,29,25
70318,6,3
57652,7,12
109450,24,24
79499,13,13
36127,26,4
113546,3,25
108743,4,4
19181,4,4
89355,7,25
100630,4,26
37217,25,4
13547,1,1
55762,25,25
111136,4,13
120476,7,12
27486,6,4
64861,26,26
65760,21,9
59493,9,15
91161,20,20
107935,25,3
109061,1,1
123233,20,20
107242,10,20
109002,28,28
8242,2,26
27958,4,9
73423,9,9
47546,4,4
88516,7,7
68489,0,0
51589,15,4
26526,6,6
23910,4,4
56337,4,4
43994,21,21
33185,26,9
44855,1,1
85093,1,1
31814,4,4
92991,24,25
34877,23,23
15702,4,4
80326,4,4
333,4,4
84959,7,17
89225,1,1
18086,6,6
26429,1,1
18775,4,7
92507,28,4
38295,4,3
111213,23,4
83528,4,4
9481,24,8
70526,10,10
110796,8,10
112124,10,4
119634,7,22
43688,1,1
32982,4,4
54062,20,16
56551,22,22
115729,4,4
26266,22,1
7492,1,1
116386,6,4
105862,24,5
50130,4,4
97401,23,23
86367,9,10
23598,4,10
80054,4,0
112563,28,26
31061,4,4
83020,4,3
66122,25,25
108655,20,20
116703,1,25
68365,1,1
109255,27,25
69204,1,1
2184,4,1
11500,1,1
57997,11,4
117425,16,7
110771,28,4
119565,5,1
90531,9,9
43703,4,4
30947,4,4
27317,8,4
124154,30,30
49820,13,8
80533,4,4
40189,4,4
104931,20,20
119054,3,7
11892,4,6
39897,9,9
109447,7,7
45126,9,9
47516,26,2
69361,1,1
28186,4,4
3660,4,4
15311,3,2
57571,1,1
48596,17,1
88845,25,25
1618,8,8
84903,4,4
31344,11,4
59869,4,4
52773,14,8
62414,9,0
25535,1,1
82863,26,26
15527,1,1
120391,9,26
3377,4,7
117562,4,4
22162,4,4
94178,0,4
98952,6,6
83640,4,4
98650,13,4
109491,11,4
12475,25,7
12717,4,4
71090,4,4
62596,8,29
47520,1,1
17749,11,11
99335,6,6
22387,1,1
25371,4,4
25093,4,4
21995,6,6
79644,4,4
6235,1,1
121309,20,20
64879,1,1
13614,1,1
47420,24,7
107303,25,9
104881,11,4
41634,4,4
27031,1,8
97943,25,25
39571,25,25
69330,4,4
92727,4,25
117787,20,20
101232,8,25
42909,16,25
36364,5,4
57982,4,4
88277,4,4
70094,0,1
33030,20,1
101086,28,26
80582,19,11
82031,11,11
59573,6,6
42952,4,1
103923,27,25
100828,11,10
6108,4,4
95841,1,1
65694,23,25
46709,4,4
16601,17,5
65354,1,1
35835,4,4
76793,5,1
75757,1,1
70741,20,1
108693,30,12
76307,25,11
76658,22,7
82349,19,24
60807,4,4
87899,4,4
9138,7,22
87772,0,4
1452,7,1
120000,13,13
41799,5,7
56113,4,1
1864,2,2
22613,7,22
122723,16,16
67973,6,0
65866,4,4
48595,8,4
101924,1,20
53745,13,13
79758,1,1
93636,1,1
17109,7,3
124107,30,25
119933,9,1
86656,13,11
115371,28,30
41880,4,8
52869,25,25
107224,27,13
25781,17,6
27449,7,1
35602,8,1
104814,10,4
100951,1,4
65341,4,4
67405,4,4
84485,4,4
87627,15,20
41369,4,0
94883,25,25
118297,10,10
77134,1,1
3767,2,2
91602,4,4
100610,25,25
81094,22,1
74265,25,25
47314,3,3
39890,9,9
124717,28,4
37612,4,4
4444,4,4
58811,4,4
58199,0,4
13631,25,25
70865,4,4
37975,4,4
112642,8,8
111479,23,16
105162,20,20
19271,24,24
122424,23,4
86374,1,1
116605,16,3
102359,11,11
60720,4,4
11572,4,4
23541,2,4
36556,8,4
97521,4,4
36823,22,4
101360,25,25
42196,9,20
14998,4,4
47804,4,4
76900,4,4
117571,1,1
12351,1,20
47382,27,26
75241,4,4
109343,16,4
16536,22,22
71151,28,28
39849,24,20
70330,4,1
43236,1,8
67610,6,4
71205,16,20
113618,20,20
7696,1,1
28204,25,7
31278,8,8
103921,8,1
74912,6,3
57726,13,13
52072,21,22
66648,26,15
120614,25,4
93354,29,20
69884,23,13
33010,26,4
83743,13,14
110374,1,1
27218,25,25
39196,26,4
1543,4,4
48117,26,28
103987,25,1
92959,7,11
59018,21,7
1824,1,1
74721,26,26
60844,7,25
58476,14,4
65722,8,8
110461,18,7
115787,25,25
115831,28,28
109132,25,25
96127,9,7
100651,4,4
41161,4,4
27422,1,8
17406,4,4
98858,8,8
36718,23,4
30662,26,4
1945,2,2
63787,4,4
18739,4,3
6528,4,4
104289,4,4
25217,4,15
109459,18,3
58693,26,4
60944,1,4
23987,6,6
117874,0,1
7156,1,1
2724,6,6
91234,9,9
72360,4,4
87188,1,1
88117,15,15
55050,3,25
111443,5,0
56774,4,4
40258,4,4
122239,13,7
19974,1,13
81066,5,4
94667,6,7
107448,4,4
118289,15,15
84543,1,1
72720,25,13
23706,4,4
95651,30,7
105918,9,4
24128,4,4
29752,26,15
106005,5,20
115183,1,1
102130,9,9
110772,15,26
32874,25,24
65559,19,17
17805,1,1
99342,4,4
105701,28,28
65240,4,4
26504,13,4
17284,2,2
74845,11,7
33877,7,4
50874,11,7
104714,6,6
17091,7,6
99124,12,24
124206,28,6
44937,4,4
1540,1,1
104588,25,3
41985,4,4
88318,24,8
23967,4,4
121021,12,7
124739,4,7
14461,1,1
7090,4,4
64502,6,11
28567,13,4
119959,7,7
26174,8,8
52835,4,1
80864,25,25
30919,7,4
58917,1,1
48158,0,4
98518,23,25
8341,4,4
35004,24,7
38979,1,9
49585,10,10
102607,9,4
101787,15,15
46382,7,22
91405,15,19
44640,4,4
15466,20,20
40518,8,6
43623,1,1
110157,12,12
53996,20,20
115870,4,4
86266,21,9
33657,26,4
86420,22,1
21069,2,4
106025,1,1
9203,4,4
60129,4,4
70590,4,4
16723,4,4
74689,6,25
68974,1,1
8089,1,22
16412,9,1
30300,1,20
66136,12,7
24651,18,4
119312,1,1
115158,3,28
96772,30,30
56685,13,4
74542,1,22
115182,28,26
25352,4,23
7423,4,4
44652,1,1
113683,12,7
78106,11,24
90564,12,4
67286,4,1
76774,5,25
98219,11,9
52983,14,11
94454,9,9
10140,4,4
83701,17,20
10641,5,5
93299,11,4
73045,4,0
87853,12,7
63403,4,4
67068,4,4
47194,21,1
74010,5,10
91315,10,10
2636,1,1
62839,26,26
68959,4,4
88255,30,2
94085,15,30
82919,4,4
25718,4,4
84953,4,4
35901,4,4
86750,24,11
96148,7,7
114765,7,25
38511,9,9
40947,8,4
15914,24,24
101575,22,4
60234,4,4
105342,10,10
27017,1,1
26890,4,15
44276,26,26
12000,1,1
50276,1,22
1900,4,4
55411,1,1
30708,4,4
2968,13,1
101445,25,20
81130,11,4
110623,12,4
18183,4,4
40347,8,4
6006,1,1
8775,20,20
59709,5,5
109081,28,26
86701,1,1
55068,8,11
9043,9,9
10963,18,3
4143,12,12
106528,4,4
118206,28,4
109070,30,4
108521,24,24
109689,19,10
121100,25,25
18751,4,4
105204,25,25
76282,6,4
101977,0,8
51681,4,4
15969,25,4
7524,4,4
70852,14,4
61769,26,26
30334,15,15
6110,17,26
36503,4,7
53840,4,4
76984,1,1
47123,22,22
32446,9,9
89950,7,25
120225,8,1
82843,1,10
28422,1,1
77885,9,9
43943,4,4
80749,1,1
3099,6,6
85846,15,15
5561,10,10
11626,23,4
83979,4,4
115775,29,2
106195,3,17
9760,22,1
19818,24,3
81511,22,1
73050,4,4
42063,23,4
91206,18,3
23515,9,4
115943,3,4
54264,26,2
115119,1,1
118873,1,9
44947,1,1
57445,28,4
87522,5,5
111060,6,8
68290,10,22
8218,21,1
38944,8,4
96412,6,0
114184,23,24
122421,28,25
109653,9,9
33261,1,1
101082,1,5
71617,22,22
20138,4,4
52295,24,25
18702,4,4
113503,25,6
61237,4,4
42501,4,4
14341,1,1
99281,4,4
66902,14,25
20081,4,4
29231,4,10
120053,27,5
99177,22,22
122173,4,4
99092,19,7
87382,0,0
117919,25,25
74471,1,6
86137,26,4
103744,4,4
24210,21,15
70989,11,4
54803,9,4
28576,4,26
53643,13,6
106686,8,1
124100,28,1
96012,7,11
111537,4,4
123202,4,4
91686,1,1
99381,4,4
71909,4,4
84446,1,8
51602,1,1
114413,0,0
83331,7,4
64444,4,4
70236,3,3
111545,0,5
67746,4,1
23861,1,1
110679,25,25
21822,2,4
103115,0,1
109771,28,28
123990,12,3
50264,10,10
74911,8,5
71575,19,23
38248,7,7
68051,27,7
123575,20,25
2542,4,4
70669,25,25
84843,4,0
108194,22,22
4679,5,5
67823,6,13
80472,4,4
41698,7,7
19648,1,1
124930,1,4
39402,4,4
101073,28,26
102919,11,11
25360,25,25
6766,7,7
41714,22,22
50188,28,4
33805,1,1
119220,25,16
25069,3,11
30896,1,1
105131,20,20
46909,4,4
93028,7,7
88040,29,22
69031,4,4
63418,12,7
96690,29,25
58354,4,4
104049,1,1
15753,4,10
45912,6,6
49384,1,1
20136,4,1
94109,4,9
116633,15,3
57015,1,1
10757,4,4
61091,22,11
100091,25,25
30418,4,4
85422,4,4
29321,4,4
10393,1,8
85087,21,4
2726,10,10
59442,27,5
97586,4,4
73081,4,0
7031,1,1
91222,20,20
69406,17,1
110611,27,25
43603,14,11
91268,28,1
61062,6,6
34502,4,4
114625,24,7
18337,4,4
30313,1,1
57700,26,26
27585,6,6
41536,28,4
121775,12,1
76005,25,25
43456,4,4
98780,1,1
120732,9,9
67422,10,10
116435,28,26
60078,4,4
98254,1,6
62817,4,4
95280,8,8
65132,1,1
111519,30,1
52441,9,9
10407,10,5
19273,4,4
26867,20,20
39881,4,4
107934,16,5
110747,25,25
81598,1,1
74360,19,4
43656,6,15
26704,4,4
47996,3,3
106393,11,7
84228,3,25
119227,6,1
99148,8,24
87766,20,7
124934,23,8
2997,15,15
56279,4,4
47138,23,4
124530,25,25
62172,4,4
79388,25,25
40357,4,15
109272,20,20
121018,25,24
111252,11,4
8764,4,1
119515,10,10
61468,3,4
121683,25,11
69151,5,5
13711,25,10
42939,4,4
42047,15,0
100187,20,7
9902,4,4
88360,28,26
107043,20,6
78076,4,4
38956,26,4
85519,9,9
74672,0,6
54529,4,4
115135,11,11
20803,20,17
91102,25,25
91431,4,4
118380,16,4
45718,22,25
117438,4,4
26857,10,10
103023,1,1
78300,4,4
23240,4,4
50409,25,25
84072,23,4
25097,2,4
84249,4,4
117819,7,7
120744,9,9
26788,4,4
14346,6,3
49187,8,8
123948,20,7
20959,4,4
30712,9,9
81644,9,20
29727,11,11
56855,15,15
88594,28,26
43957,26,26
43378,4,4
20992,4,4
96564,11,11
114105,12,24
70556,11,3
22893,9,9
20284,20,3
12751,9,10
24025,25,15
92125,18,7
42777,20,20
50704,1,1
64118,0,0
114163,30,5
52737,4,4
37983,1,1
37218,8,8
8932,23,4
114202,30,10
109644,28,4
8075,4,4
91883,25,4
124093,11,11
86663,4,4
79330,13,4
124741,30,5
29389,20,7
106936,6,20
7230,1,1
45879,19,3
103557,30,30
101396,1,1
23136,4,4
87631,7,7
98882,1,1
2259,4,4
58538,23,20
77999,11,11
12846,2,26
93662,28,28
362,4,4
94888,20,25
14324,20,1
58287,4,4
32523,4,4
25913,12,11
62983,8,4
77547,4,4
77871,15,25
47332,1,1
92466,20,20
15186,4,4
120742,12,11
80144,1,1
46942,4,4
12186,8,8
122001,1,1
51766,13,13
86061,1,1
107183,1,1
29478,8,24
27090,4,11
40932,5,4
86263,10,10
50244,27,9
68463,23,13
91877,4,4
2323,4,4
65745,4,4
3995,0,0
15627,12,5
100558,23,11
16441,8,1
59708,21,24
32807,4,11
23812,1,6
38423,0,0
122588,4,11
39584,4,1
19428,24,24
88788,25,25
74771,10,10
7162,1,1
36560,4,4
58341,4,4
2831,4,4
80113,1,1
19331,4,2
63512,9,9
6832,1,1
93214,1,1
36461,9,9
95917,0,20
77677,4,4
43600,4,4
105013,1,9
4051,4,4
55923,21,30
105667,23,4
89457,11,25
116643,28,4
18926,2,26
114643,6,0
67269,10,1
122672,25,29
20088,4,4
10762,2,9
44779,13,4
78724,8,4
52258,4,7
98022,16,1
8682,1,10
110336,4,4
23174,4,1
46726,4,4
51160,26,10
91209,7,10
94232,7,7
53248,9,10
53627,5,25
11295,1,7
110386,12,29
110678,9,15
93780,0,6
82853,1,1
57071,6,1
18684,4,4
124614,1,1
37059,4,26
73986,10,5
66343,4,4
115153,22,30
47066,1,4
8655,7,1
45172,13,4
71281,11,11
65621,27,24
77778,16,4
112800,10,9
115603,4,4
11074,2,4
110756,4,4
32757,4,4
42901,15,6
9314,4,4
44880,4,4
108489,11,23
5541,1,6
43057,1,1
104804,23,3
69478,20,20
110,1,1
2372,7,0
80816,4,4
87790,15,15
51740,1,1
65325,24,22
70424,28,4
105695,3,20
93696,29,11
36005,4,4
83843,22,22
19444,25,25
56266,26,20
55978,11,11
